gene,name,value
YAL008W,bp_validation,Verified
YAL008W,bp,ion
YBR255W,bp_validation,Verified
YBR255W,bp,biological_process
YGR164W,bp_validation,Dubious
YGR164W,bp,biological_process
YGR131W,bp_validation,Verified
YGR131W,bp,protein
YGR131W,bp,ion
YNL003C,bp_validation,Verified
YNL003C,bp,transport
YNL003C,bp,ion
YBR135W,bp_validation,Verified
YBR135W,bp,regulation
YBR135W,bp,ion
YBR135W,bp,positive
YBR160W,bp_validation,Verified
YBR160W,bp,negative
YBR160W,bp,regulation
YBR160W,bp,ion
YBR160W,bp,repair
YBR160W,bp,positive
YBR160W,bp,catabolic process
YBR160W,bp,transport
YBR160W,bp,protein
YJL082W,bp_validation,Verified
YJL082W,bp,protein
YJL142C,bp_validation,Dubious
YJL142C,bp,ion
YPL191C,bp_validation,Verified
YPL191C,bp,biological_process
YGL215W,bp_validation,Verified
YGL215W,bp,positive
YGL215W,bp,regulation
YGL215W,bp,ion
YKL074C,bp_validation,Verified
YKL074C,bp,ion
YJL077C,bp_validation,Verified
YJL077C,bp,copper
YJL077C,bp,ion
YIL124W,bp_validation,Verified
YIL124W,bp,catabolic process
YPL039W,bp_validation,Uncharacterized
YPL039W,bp,biological_process
YNL170W,bp_validation,Dubious
YNL170W,bp,biological_process
YGL141W,bp_validation,Verified
YGL141W,bp,protein
YGL141W,bp,ion
YGL141W,bp,catabolic process
YJL179W,bp_validation,Verified
YJL179W,bp,protein
YJL179W,bp,ion
YJL179W,bp,positive
YJL179W,bp,regulation
YKL083W,bp_validation,Dubious
YKL083W,bp,biological_process
YOR009W,bp_validation,Verified
YOR009W,bp,biological_process
YKL029C,bp_validation,Verified
YKL029C,bp,metabolic process
YPL166W,bp_validation,Verified
YKL052C,bp_validation,Verified
YKL052C,bp,positive
YKL052C,bp,regulation
YKL052C,bp,ion
YHR025W,bp_validation,Verified
YHR025W,bp,metabolic process
YHR025W,bp,ion
YOL034W,bp_validation,Verified
YOL034W,bp,repair
YOL034W,bp,ion
YBL008W,bp_validation,Verified
YBL008W,bp,negative
YBL008W,bp,regulation
YBL008W,bp,ion
YIL062C,bp_validation,Verified
YIL062C,bp,ion
YCL023C,bp_validation,Dubious
YCL023C,bp,biological_process
YOL116W,bp_validation,Verified
YOL116W,bp,positive
YOL116W,bp,regulation
YOL116W,bp,catabolic process
YOL116W,bp,ion
YDR196C,bp_validation,Verified
YNL255C,bp_validation,Verified
YNL255C,bp,positive
YNL255C,bp,regulation
YNL255C,bp,ion
YNR032W,bp_validation,Verified
YNR032W,bp,metabolic process
YNR032W,bp,protein
YNR032W,bp,ion
YNR045W,bp_validation,Verified
YNR045W,bp,positive
YNR045W,bp,regulation
YNR045W,bp,ion
YML105C,bp_validation,Verified
YML105C,bp,protein
YML105C,bp,ion
YML105C,bp,targeting
YNL288W,bp_validation,Verified
YNL288W,bp,regulation
YNL288W,bp,ion
YNL288W,bp,positive
YIL059C,bp_validation,Dubious
YIL059C,bp,biological_process
YIL004C,bp_validation,Verified
YIL004C,bp,transport
YIL004C,bp,ion
YNR018W,bp_validation,Verified
YPL144W,bp_validation,Verified
YPL144W,bp,protein
YFR047C,bp_validation,Verified
YHR078W,bp_validation,Uncharacterized
YHR078W,bp,biological_process
YJR115W,bp_validation,Uncharacterized
YJR115W,bp,biological_process
YLR355C,bp_validation,Verified
YGR099W,bp_validation,Verified
YGR099W,bp,protein
YGR099W,bp,ion
YLR300W,bp_validation,Verified
